Time (s), Altitude AGL (m), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²), Speed - Velocity Magnitude (m/s), acceleration Magnitude (m/s²), Mach Number, Angle of Attack (°)
0.000000,0.000000,0.000000,0.000000,1401.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012301,90.000000
0.001331,0.000000,0.000000,-0.000000,1401.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.012301,90.000000
0.001975,0.000000,-0.000000,0.000000,1401.000000,-0.000000,0.000000,0.000503,0.000000,0.000000,0.781301,0.000503,0.781301,0.012301,89.992998
0.002484,0.000001,-0.000000,0.000000,1401.000001,-0.000000,0.000000,0.002290,0.000000,-0.000000,3.508159,0.002290,3.508159,0.012301,89.968120
0.002994,0.000004,0.000000,-0.000000,1401.000004,0.000000,0.000000,0.005465,0.000000,0.000000,6.235054,0.005465,6.235054,0.012301,89.923904
0.004012,0.000014,-0.000000,-0.000000,1401.000014,0.000000,-0.000000,0.014595,0.000000,-0.000000,11.688958,0.014595,11.688958,0.012301,89.796795
0.005031,0.000037,0.000000,0.000000,1401.000037,0.000000,0.000000,0.029280,0.000000,0.000000,17.143064,0.029280,17.143064,0.012301,89.592337
0.006050,0.000077,0.000000,-0.000000,1401.000077,-0.000000,-0.000000,0.049521,0.000000,0.000000,22.597425,0.049521,22.597425,0.012302,89.310541
0.016236,0.002674,0.000000,0.000000,1401.002674,-0.000000,0.000000,0.557622,-0.000000,-0.000000,77.166707,0.557622,77.166707,0.012413,82.283125
0.026423,0.013303,0.000000,-0.000000,1401.013303,-0.000000,0.000000,1.621985,0.000000,0.000000,131.818239,1.621985,131.818239,0.013222,68.488050
0.026627,0.013639,0.000000,0.000000,1401.013639,-0.000000,0.000000,1.649064,-0.000000,0.000000,132.912361,1.649064,132.912361,0.013252,68.162459
0.026831,0.013981,0.000000,0.000000,1401.013981,-0.000000,-0.000000,1.676366,0.000000,0.000000,134.006517,1.676366,134.006517,0.013282,67.835681
0.027034,0.014328,0.000000,-0.000000,1401.014328,0.000000,-0.000000,1.703850,-0.000000,-0.000000,134.899591,1.703850,134.899591,0.013313,67.508252
0.027238,0.014681,-0.000000,-0.000000,1401.014681,-0.000000,0.000000,1.731313,0.000000,-0.000000,134.801817,1.731313,134.801817,0.013345,67.182601
0.027442,0.015039,0.000000,0.000000,1401.015039,0.000000,-0.000000,1.758757,0.000000,0.000000,134.704038,1.758757,134.704038,0.013377,66.858734
0.027849,0.015767,-0.000000,0.000000,1401.015767,0.000000,-0.000000,1.813605,-0.000000,0.000000,134.508460,1.813605,134.508460,0.013442,66.216147
0.028257,0.016517,0.000000,0.000000,1401.016517,-0.000000,-0.000000,1.868373,0.000000,-0.000000,134.312863,1.868373,134.312863,0.013509,65.580769
0.028664,0.017289,-0.000000,0.000000,1401.017289,0.000000,0.000000,1.923061,0.000000,0.000000,134.117253,1.923061,134.117253,0.013578,64.952636
0.032739,0.026231,0.000000,0.000000,1401.026231,-0.000000,0.000000,2.465558,-0.000000,0.000000,132.160010,2.465558,132.160010,0.014340,59.072308
0.036814,0.037366,0.000000,-0.000000,1401.037366,0.000000,0.000000,3.000075,0.000000,0.000000,130.200315,3.000075,130.200315,0.015223,53.906647
0.040888,0.050663,0.000000,0.000000,1401.050663,0.000000,0.000000,3.526604,0.000000,0.000000,128.238987,3.526604,128.238987,0.016200,49.403946
0.073491,0.229605,0.000000,0.000000,1401.229605,0.000000,0.000000,7.450610,-0.000000,-0.000000,112.479992,7.450610,112.479992,0.025442,28.912823
0.074910,0.240296,0.000000,0.000000,1401.240296,0.000000,0.000000,7.610240,0.000000,-0.000000,112.382039,7.610240,112.382039,0.025861,28.401700
0.076330,0.251215,0.000000,0.000000,1401.251215,0.000000,0.000000,7.769966,0.000000,0.000000,112.614690,7.769966,112.614690,0.026282,27.906612
0.077750,0.262360,-0.000000,-0.000000,1401.262360,-0.000000,-0.000000,7.930023,-0.000000,0.000000,112.847403,7.930023,112.847403,0.026706,27.426191
0.080590,0.285334,0.000000,0.000000,1401.285334,0.000000,-0.000000,8.251127,0.000000,-0.000000,113.313020,8.251127,113.313020,0.027561,26.507081
0.083429,0.309222,-0.000000,0.000000,1401.309222,-0.000000,-0.000000,8.573554,-0.000000,-0.000000,113.779061,8.573554,113.779061,0.028427,25.640069
0.086269,0.334028,0.000000,0.000000,1401.334028,0.000000,0.000000,8.897305,0.000000,-0.000000,114.245279,8.897305,114.245279,0.029302,24.821232
0.114665,0.633653,-0.000000,0.000000,1401.633653,-0.000000,-0.000000,12.205916,0.000000,0.000000,118.787016,12.205916,118.787016,0.038503,18.631155
0.116678,0.658468,-0.000000,0.000000,1401.658468,0.000000,0.000000,12.444997,-0.000000,-0.000000,118.715365,12.444997,118.715365,0.039181,18.297283
0.118692,0.683763,0.000000,0.000000,1401.683763,0.000000,0.000000,12.683934,-0.000000,0.000000,118.643658,12.683934,118.643658,0.039860,17.974969
0.120705,0.709540,-0.000000,0.000000,1401.709540,-0.000000,0.000000,12.922727,-0.000000,-0.000000,118.571911,12.922727,118.571911,0.040539,17.663643
0.124732,0.762536,0.000000,-0.000000,1401.762536,-0.000000,0.000000,13.399878,0.000000,0.000000,118.428322,13.399878,118.428322,0.041901,17.071849
0.128758,0.817451,0.000000,0.000000,1401.817451,0.000000,0.000000,13.876451,-0.000000,0.000000,118.284520,13.876451,118.284520,0.043265,16.518002
0.132785,0.874284,-0.000000,0.000000,1401.874284,-0.000000,0.000000,14.352445,-0.000000,0.000000,118.140573,14.352445,118.140573,0.044631,15.998665
0.173051,1.547384,-0.000000,0.000000,1402.547384,-0.000000,-0.000000,19.080305,-0.000000,-0.000000,116.691292,19.080305,116.691292,0.058346,12.170819
0.213317,2.409674,0.000000,0.000000,1403.409674,0.000000,0.000000,23.749461,0.000000,0.000000,115.224774,23.749461,115.224774,0.072050,9.830207
0.253583,3.458776,-0.000000,-0.000000,1404.458776,-0.000000,0.000000,28.359226,-0.000000,-0.000000,113.741365,28.359226,113.741365,0.085661,8.256432
0.308388,5.181841,0.000000,0.000000,1406.181841,0.000000,0.000000,34.536683,0.000000,-0.000000,111.695126,34.536683,111.695126,0.103972,6.794925
0.309703,5.227447,0.000000,0.000000,1406.227447,0.000032,0.000101,34.683521,0.024529,0.076688,111.671766,34.683521,111.671795,0.104408,6.766426
0.311018,5.273246,0.000000,0.000000,1406.273246,0.000065,0.000202,34.830295,0.024732,0.077277,111.622245,34.830295,111.622275,0.104844,6.738005
0.313648,5.365229,0.000000,0.000001,1406.365229,0.000131,0.000408,35.123712,0.025390,0.079123,111.523257,35.123712,111.523288,0.105715,6.681540
0.316278,5.457984,0.000001,0.000003,1406.457984,0.000199,0.000620,35.416868,0.026551,0.082311,111.424129,35.416868,111.424162,0.106586,6.625348
0.318907,5.551509,0.000001,0.000004,1406.551509,0.000271,0.000843,35.709764,0.028221,0.086852,111.325016,35.709764,111.325053,0.107456,6.569406
0.342649,6.430701,0.000019,0.000058,1407.430701,0.001311,0.003901,38.349395,0.066766,0.190337,111.154064,38.349395,111.154247,0.115300,6.071074
0.366392,7.372535,0.000077,0.000225,1408.372535,0.003788,0.010805,40.989269,0.149186,0.410630,111.272987,40.989270,111.273844,0.123153,5.574926
0.390134,8.377080,0.000221,0.000629,1409.377080,0.008759,0.024366,43.632529,0.276999,0.751753,111.390796,43.632536,111.393677,0.131023,5.071370
0.413876,9.444415,0.000523,0.001464,1410.444415,0.017309,0.047479,46.278559,0.450858,1.215432,111.506185,46.278587,111.513720,0.138909,4.554324
0.428646,10.140144,0.000835,0.002317,1411.140144,0.024938,0.068017,47.926087,0.582123,1.565378,111.576101,47.926142,111.588600,0.143822,4.224251
