Time (s), Altitude AGL (m), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Ax (m/s²), Ay (m/s²), Az (m/s²), Speed - Velocity Magnitude (m/s), acceleration Magnitude (m/s²), Mach Number, Angle of Attack (°)
0.000000,0.000000,0.000000,0.000000,1401.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012301,90.000000
0.001331,0.000000,-0.000000,0.000000,1401.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.012301,90.000000
0.001975,0.000000,-0.000000,-0.000000,1401.000000,0.000000,-0.000000,0.000503,0.000000,-0.000000,0.780880,0.000503,0.780880,0.012301,89.993001
0.002485,0.000001,-0.000000,0.000000,1401.000001,0.000000,0.000000,0.002289,0.000000,0.000000,3.507738,0.002289,3.507738,0.012301,89.968126
0.002994,0.000004,0.000000,-0.000000,1401.000004,0.000000,0.000000,0.005465,0.000000,0.000000,6.234633,0.005465,6.234633,0.012301,89.923913
0.004013,0.000014,-0.000000,-0.000000,1401.000014,0.000000,-0.000000,0.014594,-0.000000,-0.000000,11.688537,0.014594,11.688537,0.012301,89.796810
0.005031,0.000037,0.000000,0.000000,1401.000037,0.000000,0.000000,0.029278,0.000000,0.000000,17.142643,0.029278,17.142643,0.012301,89.592358
0.006050,0.000077,-0.000000,0.000000,1401.000077,-0.000000,-0.000000,0.049519,-0.000000,-0.000000,22.597004,0.049519,22.597004,0.012302,89.310568
0.016237,0.002674,0.000000,0.000000,1401.002674,-0.000000,0.000000,0.557616,0.000000,0.000000,77.166276,0.557616,77.166276,0.012413,82.283210
0.026423,0.013303,0.000000,-0.000000,1401.013303,0.000000,-0.000000,1.621974,0.000000,0.000000,131.817733,1.621974,131.817733,0.013222,68.488183
0.026627,0.013639,-0.000000,-0.000000,1401.013639,0.000000,-0.000000,1.649053,0.000000,0.000000,132.911852,1.649053,132.911852,0.013252,68.162592
0.026831,0.013981,0.000000,0.000000,1401.013981,-0.000000,-0.000000,1.676355,0.000000,-0.000000,134.006005,1.676355,134.006005,0.013282,67.835815
0.027034,0.014328,0.000000,0.000000,1401.014328,0.000000,0.000000,1.703838,0.000000,-0.000000,134.898677,1.703838,134.898677,0.013313,67.508388
0.027238,0.014681,0.000000,0.000000,1401.014681,0.000000,0.000000,1.731302,0.000000,-0.000000,134.800900,1.731302,134.800900,0.013345,67.182738
0.027442,0.015039,0.000000,0.000000,1401.015039,0.000000,0.000000,1.758745,0.000000,-0.000000,134.703118,1.758745,134.703118,0.013377,66.858873
0.027849,0.015767,0.000000,-0.000000,1401.015767,0.000000,-0.000000,1.813593,0.000000,-0.000000,134.507533,1.813593,134.507533,0.013442,66.216288
0.028257,0.016517,0.000000,0.000000,1401.016517,-0.000000,-0.000000,1.868360,0.000000,0.000000,134.311930,1.868360,134.311930,0.013509,65.580913
0.028664,0.017289,-0.000000,0.000000,1401.017289,0.000000,0.000000,1.923048,-0.000000,0.000000,134.116313,1.923048,134.116313,0.013578,64.952783
0.032739,0.026230,0.000000,-0.000000,1401.026230,0.000000,0.000000,2.465541,0.000000,0.000000,132.158997,2.465541,132.158997,0.014340,59.072481
0.036814,0.037366,-0.000000,-0.000000,1401.037366,0.000000,-0.000000,3.000054,-0.000000,-0.000000,130.199217,3.000054,130.199217,0.015223,53.906840
0.040888,0.050663,0.000000,0.000000,1401.050663,0.000000,0.000000,3.526578,0.000000,0.000000,128.237793,3.526578,128.237793,0.016200,49.404153
0.073490,0.229599,-0.000000,-0.000000,1401.229599,-0.000000,0.000000,7.450473,0.000000,0.000000,112.478106,7.450473,112.478106,0.025442,28.913268
0.074910,0.240290,-0.000000,0.000000,1401.240290,0.000000,0.000000,7.610101,0.000000,0.000000,112.379828,7.610101,112.379828,0.025861,28.402140
0.076330,0.251209,0.000000,0.000000,1401.251209,0.000000,-0.000000,7.769824,0.000000,0.000000,112.612436,7.769824,112.612436,0.026282,27.907047
0.077750,0.262354,-0.000000,-0.000000,1401.262354,0.000000,0.000000,7.929877,-0.000000,-0.000000,112.845106,7.929877,112.845106,0.026705,27.426623
0.080589,0.285328,0.000000,0.000000,1401.285328,0.000000,0.000000,8.250975,0.000000,0.000000,113.310638,8.250975,113.310638,0.027561,26.507504
0.083429,0.309215,-0.000000,-0.000000,1401.309215,0.000000,-0.000000,8.573395,0.000000,0.000000,113.776593,8.573395,113.776593,0.028426,25.640485
0.086269,0.334020,0.000000,0.000000,1401.334020,0.000000,0.000000,8.897139,0.000000,0.000000,114.242725,8.897139,114.242725,0.029302,24.821640
0.114665,0.633639,0.000000,0.000000,1401.633639,0.000000,0.000000,12.205667,0.000000,0.000000,118.783705,12.205667,118.783705,0.038503,18.631509
0.116678,0.658454,-0.000000,-0.000000,1401.658454,0.000000,-0.000000,12.444742,0.000000,0.000000,118.711997,12.444742,118.711997,0.039180,18.297633
0.118691,0.683749,0.000000,0.000000,1401.683749,-0.000000,0.000000,12.683673,0.000000,0.000000,118.640234,12.683673,118.640234,0.039859,17.975316
0.120705,0.709525,0.000000,0.000000,1401.709525,-0.000000,-0.000000,12.922459,0.000000,0.000000,118.568432,12.922459,118.568432,0.040539,17.663986
0.124731,0.762520,0.000000,0.000000,1401.762520,0.000000,0.000000,13.399598,-0.000000,0.000000,118.424736,13.399598,118.424736,0.041900,17.072185
0.128758,0.817434,-0.000000,-0.000000,1401.817434,-0.000000,0.000000,13.876158,-0.000000,-0.000000,118.280831,13.876158,118.280831,0.043264,16.518333
0.132784,0.874266,0.000000,-0.000000,1401.874266,0.000000,-0.000000,14.352138,0.000000,0.000000,118.136784,14.352138,118.136784,0.044630,15.998989
0.173050,1.547353,-0.000000,-0.000000,1402.547353,-0.000000,-0.000000,19.079845,0.000000,0.000000,116.686786,19.079845,116.686786,0.058345,12.171104
0.213316,2.409624,-0.000000,0.000000,1403.409624,0.000000,0.000000,23.748832,-0.000000,0.000000,115.220153,23.748832,115.220153,0.072049,9.830462
0.253583,3.458700,-0.000000,-0.000000,1404.458700,0.000000,-0.000000,28.358438,0.000000,0.000000,113.737334,28.358438,113.737334,0.085659,8.256659
0.308392,5.181841,0.000000,-0.000000,1406.181841,0.000000,0.000000,34.536133,0.000000,0.000000,111.693003,34.536133,111.693003,0.103970,6.795033
0.309707,5.227447,0.000000,0.000000,1406.227447,0.000032,0.000101,34.682970,0.024528,0.076687,111.669710,34.682970,111.669739,0.104406,6.766533
0.311021,5.273245,0.000000,0.000000,1406.273245,0.000065,0.000202,34.829742,0.024732,0.077276,111.620257,34.829742,111.620287,0.104842,6.738111
0.313651,5.365228,0.000000,0.000001,1406.365228,0.000131,0.000408,35.123156,0.025389,0.079122,111.521379,35.123156,111.521410,0.105713,6.681645
0.316281,5.457982,0.000001,0.000003,1406.457982,0.000199,0.000620,35.416310,0.026551,0.082310,111.422475,35.416310,111.422509,0.106584,6.625452
0.318911,5.551506,0.000001,0.000004,1406.551506,0.000271,0.000843,35.709203,0.028220,0.086850,111.323479,35.709203,111.323517,0.107454,6.569509
0.342654,6.430725,0.000019,0.000058,1407.430725,0.001311,0.003901,38.348942,0.066768,0.190342,111.154079,38.348942,111.154262,0.115299,6.071143
0.366397,7.372592,0.000077,0.000225,1408.372592,0.003789,0.010806,40.988955,0.149196,0.410655,111.274836,40.988956,111.275694,0.123152,5.574960
0.390141,8.377176,0.000221,0.000630,1409.377176,0.008759,0.024369,43.632401,0.277024,0.751821,111.394760,43.632408,111.397642,0.131023,5.071365
0.413884,9.444559,0.000523,0.001464,1410.444559,0.017311,0.047485,46.278671,0.450911,1.215572,111.512550,46.278699,111.520087,0.138909,4.554278
0.428654,10.140285,0.000836,0.002317,1411.140285,0.024941,0.068025,47.926293,0.582194,1.565566,111.584087,47.926347,111.596588,0.143822,4.224195
