#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6,6614,2,VK3TRK,-0.3,3,   boost,2.45,86465,1317.68,0,     NaN,42.5,8.43,8.4,4.1,0,0,0,0,-0.06,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
6,6614,2,VK3TRK,-0.29,3,   boost,0,86458,1318.34,0.66,     NaN,42.5,8.43,8.4,4.1,0,10.57,0,135.2,135.81,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
6,6614,2,VK3TRK,-0.28,3,   boost,-1.47,86454,1318.72,1.04,     NaN,42.5,8.43,8.4,4.1,0,10.57,0,135.2,135.81,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
6,6614,2,VK3TRK,-0.27,3,   boost,-1.96,86457,1318.44,0.76,     NaN,42.5,8.43,8.4,4.1,0,10.57,0,135.2,135.81,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
6,6614,2,VK3TRK,-0.26,3,   boost,1.96,86468,1317.39,-0.28,     NaN,42.5,8.43,8.4,4.1,0,10.57,0,135.2,135.81,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
6,6614,2,VK3TRK,-0.25,3,   boost,-2.45,86464,1317.77,0.09,     NaN,42.5,8.43,8.4,4.1,0,10.57,0,135.2,135.81,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
6,6614,2,VK3TRK,-0.24,3,   boost,0,86474,1316.83,-0.85,     NaN,42.5,8.43,8.4,4.1,0,10.57,0,135.2,135.81,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
6,6614,2,VK3TRK,-0.23,3,   boost,-0.49,86469,1317.3,-0.38,     NaN,42.5,8.43,8.4,4.1,0,10.57,0,135.2,135.81,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
6,6614,2,VK3TRK,-0.22,3,   boost,1.47,86459,1318.25,0.57,     NaN,42.5,8.43,8.4,4.1,0,10.57,0,135.2,135.81,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
6,6614,2,VK3TRK,-0.21,3,   boost,-0.98,86477,1316.54,-1.14,     NaN,42.5,8.43,8.4,4.1,0,10.57,0,135.2,135.81,0,0,0,0,    NaN,8.38,8.44,8.37,0,0,1,1,11,32.9430368,-106.9145895,1389,2022,6,23,19,5,47,0,0,0,0,1.6,1,1.2,0,31,0,0,32,43,0,0,0,0,33,34,0,0,19,0,0,38,0,33,0,0,0,0,43,0,0,0,29,0,30,0
